licence_number,expiry_date,services,subtype,name,secondary_name,location,address,street_address,city,postal_code,business_phone,business_fax
X035278,2024-01-10,"['trading', 'rental']",Brokerage,1NE Collective Realty Inc.,1NE Collective Realty Inc.,Richmond,"215-8600 Cambie Road, Richmond",215-8600 Cambie Road, Richmond,V6X 4J9,(604) 999-8882,(604) 545-0388
X038041,2025-03-06,['trading'],Brokerage,2 Percent Realty Alliance,1345999 BC Ltd.,Port Coquitlam,"A113 2099 Lougheed Highway, Port Coquitlam",A113 2099 Lougheed Highway, Port Coquitlam,V3B 1A8,(604) 767-2590,
X033388,2025-02-06,['trading'],Brokerage,2 Percent Realty Experts,2 Percent Realty Experts Inc.,Prince George,"201-715 Victoria Street, Prince George",201-715 Victoria Street, Prince George,V2L 2K5,(250) 649-8147,
X035413,2024-06-09,['trading'],Brokerage,2 Percent Realty Group,1189486 BC Ltd.,Campbell River,"1115 Shoppers Row, Campbell River",1115 Shoppers Row, Campbell River,V9W 2C7,(250) 488-9521,
X037250,2024-02-17,['trading'],Brokerage,2 Percent Realty Interior Inc.,2 Percent Realty Interior Inc.,Kelowna,"106-460 Doyle Avenue, Kelowna",106-460 Doyle Avenue, Kelowna,V1Y 0C2,(778) 760-9073,
X032363,2024-03-01,['trading'],Brokerage,2 Percent Realty Kootenay Inc.,2 Percent Realty Kootenay Inc.,Creston,"3403 Beam Road, Creston",3403 Beam Road, Creston,V0B 1G1,(250) 946-6608,
X034882,2025-01-25,['trading'],Brokerage,2 Percent Realty Sunshine Coast Inc.,2 Percent Realty Sunshine Coast Inc.,Powell River,"4726 Marine Ave, Powell River",4726 Marine Ave, Powell River,V8A 2L4,(604) 487-9992,
X030788,2025-03-13,['trading'],Brokerage,2 Percent Realty West Coast,2 Percent Realty Solution Inc.,Surrey,"404-1688 152nd Street, Surrey",404-1688 152nd Street, Surrey,V4A 4N2,(604) 340-1575,(604) 398-2365
X034843,2024-11-14,['trading'],Branch Office,2 Percent Realty West Coast,2 Percent Realty Solution Inc.,Vancouver,"720 - 999 West Broadway, Vancouver",720 - 999 West Broadway, Vancouver,V5Z 1K5,(604) 340-1575,(604) 398-2365
X034877,2024-12-11,['trading'],Branch Office,2 Percent Realty West Coast,2 Percent Realty Solution Inc.,Langley,"202 - 23160 96th Avenue, P.O. Box 976, Langley",202 - 23160 96th Avenue, P.O. Box 976,V1M 2S3,(778) 809-8439,(604) 398-4224
X031159,2024-04-21,['trading'],Brokerage,2 Percent Westview Realty,Westview Realty Ltd.,Richmond,"130 - 10691 Shellbridge Way, Richmond",130 - 10691 Shellbridge Way, Richmond,V6X 2E8,(778) 371-3471,(778) 371-3472
X036058,2025-03-09,['trading'],Brokerage,2.5 Percent Just Real Estate Inc.,2.5 Percent Just Real Estate Inc.,Comox,1761-A Comox,1761-A Comox,,V9M 3M2,(250) 650-8458,
X026823,2025-01-01,"['trading', 'rental']",Brokerage,3 Percent Realty Inc.,3 Percent Realty Inc.,Vernon,"4201 - 27th Street, Vernon",4201 - 27th Street, Vernon,V1T 4Y3,(250) 503-2246,(250) 503-2267
X035182,2025-09-30,['rental'],Brokerage,3PM Real Estate Services Inc.,3PM Real Estate Services Inc.,Richmond,"1140 - 13700 Mayfield Place, Richmond",1140 - 13700 Mayfield Place, Richmond,V6V 2E4,(236) 521-3790,
137717,2025-09-05,"['trading', 'rental']",Sole Proprietor,4 Flowers Realty,Heinz Albert Ebenau,Wasa,6466 Wasa,6466 Wasa,,V0B 2K0,,(250) 295-7618
X030999,2025-12-04,['rental'],Brokerage,460 Property Management Inc.,460 Property Management Inc.,Nanaimo,"3-1551 Estevan Road, Nanaimo",3-1551 Estevan Road, Nanaimo,V9S 3Y3,(250) 753-5757,(250) 753-4993
X035118,2025-07-11,['rental'],Branch Office,460 Property Management Inc.,460 Property Management Inc.,Qualicum Beach,"101-210 First Ave W, Qualicum Beach",101-210 First Ave W, Qualicum Beach,V9K 2P7,(250) 594-4602,
X030998,2025-12-04,['trading'],Brokerage,460 Realty,460 Realty Inc.,Nanaimo,"202-1551 Estevan Road, Nanaimo",202-1551 Estevan Road, Nanaimo,V9S 3Y3,(250) 591-4601,(250) 591-4602
X032033,2025-10-15,['trading'],Branch Office,460 Realty,460 Realty Inc.,Ladysmith,"102 - 626 1st Avenue, PO Box 135, Ladysmith",102 - 626 1st Avenue, PO Box 135,V9G 1A1,(250) 591-4601,(250) 924-0460
X033508,2025-01-30,['trading'],Branch Office,460 Realty,460 Realty Inc.,Qualicum Beach,"101-210 First Ave W, Qualicum Beach",101-210 First Ave W, Qualicum Beach,V9K 2P7,(250) 586-4601,(250) 586-3871
X034734,2024-08-22,['trading'],Branch Office,460 Realty,460 Realty Inc.,Ucluelet,"108-1917 Peninsula Road, Ucluelet",108-1917 Peninsula Road, Ucluelet,V0R 3A0,(250) 726-2666,
X035219,2025-10-27,['trading'],Branch Office,460 Realty,460 Realty Inc.,Port Hardy,"8640 Granville Street, P.O. Box 240, Port Hardy",8640 Granville Street, P.O. Box 240,V0N 2P0,(250) 591-4601,(250) 591-4602
X035852,2025-01-06,['trading'],Branch Office,460 Realty,460 Realty Inc.,Powell River,"118-4801 Joyce Avenue, Powell River",118-4801 Joyce Avenue, Powell River,V8A 3B7,(236) 328-0236,
X036290,2025-05-09,['trading'],Branch Office,460 Realty,460 Realty Inc.,Campbell River,"303-871 Island Highway, Campbell River",303-871 Island Highway, Campbell River,V9W 2C2,(250) 618-1840,
X036178,2024-07-14,['trading'],Brokerage,6 Diamond Realty Inc.,6 Diamond Realty Inc.,Quesnel,"1883 West Fraser Road, Quesnel",1883 West Fraser Road, Quesnel,V2J 6J6,(416) 837-2563,
X023880,2025-12-13,"['trading', 'rental', 'strata']",Brokerage,604 Real Estate Services Inc.,604 Real Estate Services Inc.,Vancouver,"501-601 West Broadway, Vancouver",501-601 West Broadway, Vancouver,V5Z 4C2,(604) 689-0909,(604) 689-0910
X031527,2025-02-05,"['trading', 'rental']",Brokerage,88West Realty,88West Realty Ltd.,North Vancouver,"1370 Marine Drive, North Vancouver",1370 Marine Drive, North Vancouver,V7P 1T4,(604) 281-1828,(888) 512-3959
X034357,2024-01-24,['trading'],Brokerage,8X Real Estate,8X Ventures Inc.,Victoria,"535 Pandora Avenue, Victoria",535 Pandora Avenue, Victoria,V8W 3J6,(778) 678-9815,
X028036,2025-12-17,"['trading', 'rental', 'strata']",Brokerage,AA Property Management Ltd.,AA Property Management Ltd.,Burnaby,"136-4299 Canada Way, Burnaby",136-4299 Canada Way, Burnaby,V5G 1H3,(604) 207-2002,(604) 207-2008
X034532,2024-04-17,['trading'],Brokerage,Abbotsford Property Realty Inc.,Abbotsford Property Realty Inc.,Abbotsford,"1373 McCallum Road, Abbotsford",1373 McCallum Road, Abbotsford,V2S 8A4,(604) 857-4850,(604) 850-2275
X028247,2024-08-10,"['trading', 'rental', 'strata']",Brokerage,ABC Realty,KBC Realty Ltd.,Richmond,"180 - 3751 Shell Road, Richmond",180 - 3751 Shell Road, Richmond,V6X 2W2,(604) 328-9000,(604) 262-4363
X028758,2024-05-24,"['trading', 'rental']",Brokerage,ABF Broadway Realty,ABF Realty Ltd.,Vancouver,"508 Taylor Street, Vancouver",508 Taylor Street, Vancouver,V6B 6M4,(604) 684-6000,(604) 678-8887
X036957,2026-01-01,"['trading', 'rental', 'strata']",Brokerage,Abingdon Moore Realty Ltd.,Abingdon Moore Realty Ltd.,Port Alberni,"4746 Johnston Road, Port Alberni",4746 Johnston Road, Port Alberni,V9Y 5M3,,
X028564,2025-12-23,"['rental', 'strata']",Brokerage,Accent Property Management Ltd.,Accent Property Management Ltd.,Vernon,"#204 - 3304 32nd Avenue, Vernon",#204 - 3304 32nd Avenue, Vernon,V1T 2M6,(250) 542-1533,(250) 549-2533
X026558,2024-08-09,"['trading', 'rental', 'strata']",Brokerage,Achieve Properties Ltd.,Achieve Properties Ltd.,Victoria,"761 Treanor Avenue, Victoria",761 Treanor Avenue, Victoria,V9B 5V5,(250) 478-2455,(250) 478-2494
X037090,2024-01-14,['trading'],Brokerage,Acrosstown Realty Inc.,Acrosstown Realty Inc.,Burnaby,"400-4370 Dominion Street, Burnaby",400-4370 Dominion Street, Burnaby,V5G 4L7,(778) 558-5928,
X029607,2024-03-09,"['trading', 'rental', 'strata']",Brokerage,Action Property Management,Action Property Management Group Ltd.,Fort St. John,"9823 - 100th Street, Fort St. John",9823 - 100th Street, Fort St. John,V1J 3Y2,(250) 787-7177,(250) 787-7141
X030622,2024-09-10,"['trading', 'rental', 'strata']",Branch Office,Action Property Management,Action Property Management Group Ltd.,Dawson Creek,"1016-102 Avenue, Dawson Creek",1016-102 Avenue, Dawson Creek,V1G 2B8,(250) 782-9800,(250) 782-9804
X031536,2025-02-27,"['trading', 'rental']",Brokerage,Adera Commercial Inc.,Adera Commercial Inc.,Vancouver,"Suite 2200, Four Bentall Centre, 1055 Dunsmuir Street, Box 49214, Vancouver",Suite 2200, Four Bentall Centre,V7X 1K8,(604) 684-8277,(604) 684-4709
X000077,2025-06-29,"['trading', 'rental']",Brokerage,Adera Realty Corp.,Adera Realty Corp.,Vancouver,"Suite 2200, Four Bentall Centre, 1055 Dunsmuir Street, Box 49214, Vancouver",Suite 2200, Four Bentall Centre,V7X 1K8,(604) 684-8277,(604) 684-4709
X028799,2024-10-09,"['trading', 'rental', 'strata']",Brokerage,Advanced Property Management & Real Estate,Advanced Property Management Inc.,Courtenay,"532 5th Street, Courtenay",532 5th Street, Courtenay,V9N 1K3,(250) 338-2472,(250) 338-2474
X028776,2024-07-03,"['trading', 'rental']",Brokerage,Advent Real Estate Services Ltd.,Advent Real Estate Services Ltd.,Vancouver,"310-318 Homer Street, Vancouver",310-318 Homer Street, Vancouver,V6B 2V2,(604) 736-6478,(604) 608-9292
X029290,2024-09-07,"['trading', 'rental', 'strata']",Brokerage,Aedis Realty Limited,Aedis Realty Limited,Vancouver,"412-938 Howe Street, Vancouver",412-938 Howe Street, Vancouver,V6Z 1N9,(604) 688-8669,(604) 222-4720
163661,2025-03-27,['trading'],Sole Proprietor,Agland West Realty,Leesa Katherine Marilyn Letnick,Deroche,"40810 Taylor Rd, Deroche",40810 Taylor Rd, Deroche,V0M 1G0,(778) 988-2840,
REX602280,2025-04-30,"['trading', 'rental']",Brokerage,Ahom Realty,Ahom Property Management and Real Estate Limited,Port Coquitlam,"2300-2850 Shaughnessy St, Port Coquitlam",2300-2850 Shaughnessy St, Port Coquitlam,V3C 6K5,(604) 809-6317,
X030107,2025-06-06,"['trading', 'rental']",Brokerage,AISA Real Estate Services,Aisa Realty Corp.,Vancouver,"4105 - 1111 Alberni Street, Vancouver",4105 - 1111 Alberni Street, Vancouver,V6E 4V2,(604) 568-9800,(604) 569-5909
140640,2024-08-31,"['trading', 'rental', 'strata']",Sole Proprietor,Alex Ingram Broker,Alexander Ingram,Victoria,"202 - 1110 Government Street, Victoria",202 - 1110 Government Street, Victoria,V8V 2K7,(778) 677-2410,(604) 664-7106
X036376,2025-06-16,['trading'],Brokerage,Alexandrite Real Estate Ltd.,Alexandrite Real Estate Ltd.,,203-26 Bastion Sq,203-26 Bastion Sq,,Bastion Sq,(250) 361-1939,
X035218,2025-12-01,['rental'],Brokerage,All In Property Management Ltd.,All In Property Management Ltd.,Fernie,"12 Manitou Road, Box 969, Fernie",12 Manitou Road, Box 969,V0B 1M0,(250) 423-2052,(250) 423-2656
X028952,2025-11-27,['strata'],Brokerage,Alliance Strata Property Services Inc.,Alliance Strata Property Services Inc.,Nanoose Bay,"1433 Madrona Drive, Nanoose Bay",1433 Madrona Drive, Nanoose Bay,V9P 9C9,(250) 951-0851,(250) 951-0852
